;FIN_FINANCIALCONTRACTID;FIN_SOURCESYSTEM;SEQUENCENUMBER3;BUSINESSPARTNERID2;ISMAINCARD2;CARDSTATUS2;APPLICATIONDATE2;APPROVALDATE2;ISSUEDATE2;DEBITCARDAGREEMENT_1;BUSINESSPARTNER_1
139;100001459;CARDSYSTEM;1;6459;1;active;08.07.2015;08.07.2015;17.07.2015;100001459;6459
140;100001460;CARDSYSTEM;1;6460;1;active;12.08.2013;12.08.2013;21.08.2013;100001460;6460
141;100001461;CARDSYSTEM;1;6461;1;active;22.01.2012;22.01.2012;31.01.2012;100001461;6461
142;100001462;CARDSYSTEM;1;6462;1;active;21.02.2012;21.02.2012;27.02.2012;100001462;6462
143;100001463;CARDSYSTEM;1;6463;1;active;16.07.2013;16.07.2013;25.07.2013;100001463;6463
144;100001464;CARDSYSTEM;1;6464;1;active;11.09.2015;11.09.2015;17.09.2015;100001464;6464
145;100001465;CARDSYSTEM;1;6465;1;active;03.11.2016;03.11.2016;08.11.2016;100001465;6465
146;100001466;CARDSYSTEM;1;6466;1;active;25.09.2015;25.09.2015;04.10.2015;100001466;6466
147;100001467;CARDSYSTEM;1;6467;1;active;25.07.2014;25.07.2014;31.07.2014;100001467;6467
148;100001468;CARDSYSTEM;1;6468;1;active;15.10.2012;15.10.2012;24.10.2012;100001468;6468
149;100001469;CARDSYSTEM;1;6469;1;active;01.04.2015;01.04.2015;09.04.2015;100001469;6469
150;100001470;CARDSYSTEM;1;6470;1;active;22.03.2013;22.03.2013;31.03.2013;100001470;6470
151;100001471;CARDSYSTEM;1;6471;1;active;29.03.2014;29.03.2014;06.04.2014;100001471;6471
152;100001472;CARDSYSTEM;1;6472;1;active;21.08.2014;21.08.2014;27.08.2014;100001472;6472
153;100001473;CARDSYSTEM;1;6473;1;active;22.01.2014;22.01.2014;29.01.2014;100001473;6473
154;100001474;CARDSYSTEM;1;6474;1;active;10.03.2014;10.03.2014;19.03.2014;100001474;6474
155;100001475;CARDSYSTEM;1;6475;1;active;03.02.2012;03.02.2012;09.02.2012;100001475;6475
156;100001476;CARDSYSTEM;1;6476;1;active;19.06.2013;19.06.2013;25.06.2013;100001476;6476
157;100001477;CARDSYSTEM;1;6477;1;active;27.11.2013;27.11.2013;02.12.2013;100001477;6477
158;100001478;CARDSYSTEM;1;6478;1;active;23.07.2016;23.07.2016;28.07.2016;100001478;6478
159;100001479;CARDSYSTEM;1;6479;1;active;16.11.2015;16.11.2015;23.11.2015;100001479;6479
160;100001480;CARDSYSTEM;1;6480;1;active;09.02.2012;09.02.2012;14.02.2012;100001480;6480
161;100001481;CARDSYSTEM;1;6481;1;active;11.06.2012;11.06.2012;18.06.2012;100001481;6481
162;100001482;CARDSYSTEM;1;6482;1;active;30.01.2016;30.01.2016;07.02.2016;100001482;6482
163;100001483;CARDSYSTEM;1;6483;1;active;23.02.2015;23.02.2015;28.02.2015;100001483;6483
164;100001484;CARDSYSTEM;1;6484;1;active;08.10.2014;08.10.2014;14.10.2014;100001484;6484
165;100001485;CARDSYSTEM;1;6485;1;active;26.02.2016;26.02.2016;05.03.2016;100001485;6485
166;100001486;CARDSYSTEM;1;6486;1;active;13.05.2017;13.05.2017;20.05.2017;100001486;6486
167;100001487;CARDSYSTEM;1;6487;1;active;09.04.2012;09.04.2012;15.04.2012;100001487;6487
168;100001488;CARDSYSTEM;1;6488;1;active;25.06.2016;25.06.2016;04.07.2016;100001488;6488
169;100001489;CARDSYSTEM;1;6489;1;active;16.03.2015;16.03.2015;24.03.2015;100001489;6489
170;100001490;CARDSYSTEM;1;6490;1;active;25.04.2014;25.04.2014;01.05.2014;100001490;6490
171;100001491;CARDSYSTEM;1;6491;1;active;05.05.2016;05.05.2016;14.05.2016;100001491;6491
172;100001492;CARDSYSTEM;1;6492;1;active;03.09.2016;03.09.2016;11.09.2016;100001492;6492
173;100001493;CARDSYSTEM;1;6493;1;active;03.10.2016;03.10.2016;10.10.2016;100001493;6493
174;100001494;CARDSYSTEM;1;6494;1;active;28.10.2015;28.10.2015;02.11.2015;100001494;6494
175;100001495;CARDSYSTEM;1;6495;1;active;05.02.2015;05.02.2015;13.02.2015;100001495;6495
176;100001496;CARDSYSTEM;1;6496;1;active;11.03.2015;11.03.2015;20.03.2015;100001496;6496
177;100001497;CARDSYSTEM;1;6497;1;active;31.05.2013;31.05.2013;08.06.2013;100001497;6497
178;100001498;CARDSYSTEM;1;6498;1;active;30.08.2016;30.08.2016;08.09.2016;100001498;6498
179;100001499;CARDSYSTEM;1;6499;1;active;01.03.2017;01.03.2017;06.03.2017;100001499;6499
180;100001500;CARDSYSTEM;1;6500;1;active;11.06.2015;11.06.2015;17.06.2015;100001500;6500
181;100001501;CARDSYSTEM;1;6501;1;active;19.01.2017;19.01.2017;28.01.2017;100001501;6501
182;100001502;CARDSYSTEM;1;6502;1;active;18.11.2012;18.11.2012;25.11.2012;100001502;6502
183;100001503;CARDSYSTEM;1;6503;1;active;31.03.2014;31.03.2014;06.04.2014;100001503;6503
184;100001504;CARDSYSTEM;1;6504;1;active;04.03.2012;04.03.2012;11.03.2012;100001504;6504
185;100001505;CARDSYSTEM;1;6505;1;active;18.09.2012;18.09.2012;23.09.2012;100001505;6505
186;100001506;CARDSYSTEM;1;6506;1;active;01.10.2016;01.10.2016;08.10.2016;100001506;6506
187;100001507;CARDSYSTEM;1;6507;1;active;09.12.2015;09.12.2015;15.12.2015;100001507;6507
188;100001508;CARDSYSTEM;1;6508;1;active;01.02.2017;01.02.2017;09.02.2017;100001508;6508
189;100001509;CARDSYSTEM;1;6509;1;active;10.06.2017;10.06.2017;18.06.2017;100001509;6509
190;100001510;CARDSYSTEM;1;6510;1;active;17.03.2013;17.03.2013;26.03.2013;100001510;6510
191;100001511;CARDSYSTEM;1;6511;1;active;10.05.2015;10.05.2015;17.05.2015;100001511;6511
192;100001512;CARDSYSTEM;1;6512;1;active;06.06.2013;06.06.2013;13.06.2013;100001512;6512
193;100001513;CARDSYSTEM;1;6513;1;active;21.07.2015;21.07.2015;26.07.2015;100001513;6513
194;100001514;CARDSYSTEM;1;6514;1;active;05.06.2015;05.06.2015;12.06.2015;100001514;6514
195;100001515;CARDSYSTEM;1;6515;1;active;19.02.2013;19.02.2013;28.02.2013;100001515;6515
196;100001516;CARDSYSTEM;1;6516;1;active;21.06.2012;21.06.2012;30.06.2012;100001516;6516
197;100001517;CARDSYSTEM;1;6517;1;active;01.12.2013;01.12.2013;07.12.2013;100001517;6517
198;100001518;CARDSYSTEM;1;6518;1;active;08.07.2016;08.07.2016;16.07.2016;100001518;6518
199;100001519;CARDSYSTEM;1;6519;1;active;23.07.2014;23.07.2014;31.07.2014;100001519;6519
200;100001520;CARDSYSTEM;1;6520;1;active;14.12.2013;14.12.2013;23.12.2013;100001520;6520
201;100001521;CARDSYSTEM;1;6521;1;active;21.09.2016;21.09.2016;29.09.2016;100001521;6521
202;100001522;CARDSYSTEM;1;6522;1;active;27.04.2015;27.04.2015;02.05.2015;100001522;6522
203;100001523;CARDSYSTEM;1;6523;1;active;19.03.2014;19.03.2014;24.03.2014;100001523;6523
204;100001524;CARDSYSTEM;1;6524;1;active;22.12.2014;22.12.2014;30.12.2014;100001524;6524
205;100001525;CARDSYSTEM;1;6525;1;active;22.03.2012;22.03.2012;29.03.2012;100001525;6525
206;100001526;CARDSYSTEM;1;6526;1;active;03.12.2016;03.12.2016;10.12.2016;100001526;6526
207;100001527;CARDSYSTEM;1;6527;1;active;03.12.2016;03.12.2016;09.12.2016;100001527;6527
208;100001528;CARDSYSTEM;1;6528;1;active;17.09.2016;17.09.2016;22.09.2016;100001528;6528
209;100001529;CARDSYSTEM;1;6529;1;active;23.12.2014;23.12.2014;28.12.2014;100001529;6529
210;100001530;CARDSYSTEM;1;6530;1;active;05.07.2016;05.07.2016;13.07.2016;100001530;6530
211;100001531;CARDSYSTEM;1;6531;1;active;14.04.2015;14.04.2015;23.04.2015;100001531;6531
212;100001532;CARDSYSTEM;1;6532;1;active;10.01.2017;10.01.2017;15.01.2017;100001532;6532
213;100001533;CARDSYSTEM;1;6533;1;active;07.03.2015;07.03.2015;13.03.2015;100001533;6533
214;100001534;CARDSYSTEM;1;6534;1;active;29.08.2016;29.08.2016;07.09.2016;100001534;6534
215;100001535;CARDSYSTEM;1;6535;1;active;15.10.2013;15.10.2013;24.10.2013;100001535;6535
216;100001536;CARDSYSTEM;1;6536;1;active;27.10.2015;27.10.2015;01.11.2015;100001536;6536
217;100001537;CARDSYSTEM;1;6537;1;active;23.01.2014;23.01.2014;01.02.2014;100001537;6537
218;100001538;CARDSYSTEM;1;6538;1;active;07.01.2013;07.01.2013;16.01.2013;100001538;6538
219;100001539;CARDSYSTEM;1;6539;1;active;21.07.2015;21.07.2015;28.07.2015;100001539;6539
220;100001540;CARDSYSTEM;1;6540;1;active;06.01.2012;06.01.2012;13.01.2012;100001540;6540
221;100001541;CARDSYSTEM;1;6541;1;active;25.05.2013;25.05.2013;30.05.2013;100001541;6541
222;100001542;CARDSYSTEM;1;6542;1;active;13.07.2016;13.07.2016;18.07.2016;100001542;6542
223;100001543;CARDSYSTEM;1;6543;1;active;16.12.2012;16.12.2012;23.12.2012;100001543;6543
224;100001544;CARDSYSTEM;1;6544;1;active;09.12.2014;09.12.2014;14.12.2014;100001544;6544
225;100001545;CARDSYSTEM;1;6545;1;active;13.10.2013;13.10.2013;20.10.2013;100001545;6545
226;100001546;CARDSYSTEM;1;6546;1;active;14.08.2013;14.08.2013;23.08.2013;100001546;6546
227;100001547;CARDSYSTEM;1;6547;1;active;25.05.2014;25.05.2014;31.05.2014;100001547;6547
228;100001548;CARDSYSTEM;1;6548;1;active;06.11.2012;06.11.2012;13.11.2012;100001548;6548
229;100001549;CARDSYSTEM;1;6549;1;active;22.04.2015;22.04.2015;27.04.2015;100001549;6549
230;100001550;CARDSYSTEM;1;6550;1;active;20.12.2012;20.12.2012;27.12.2012;100001550;6550
231;100001551;CARDSYSTEM;1;6551;1;active;23.03.2012;23.03.2012;01.04.2012;100001551;6551
232;100001552;CARDSYSTEM;1;6552;1;active;22.02.2017;22.02.2017;27.02.2017;100001552;6552
233;100001553;CARDSYSTEM;1;6553;1;active;26.10.2013;26.10.2013;03.11.2013;100001553;6553
234;100001554;CARDSYSTEM;1;6554;1;active;13.06.2016;13.06.2016;22.06.2016;100001554;6554
235;100001555;CARDSYSTEM;1;6555;1;active;19.08.2016;19.08.2016;28.08.2016;100001555;6555
236;100001556;CARDSYSTEM;1;6556;1;active;07.05.2014;07.05.2014;16.05.2014;100001556;6556
237;100001557;CARDSYSTEM;1;6557;1;active;08.04.2015;08.04.2015;13.04.2015;100001557;6557
238;100001558;CARDSYSTEM;1;6558;1;active;07.08.2014;07.08.2014;15.08.2014;100001558;6558
239;100001559;CARDSYSTEM;1;6559;1;active;14.01.2012;14.01.2012;19.01.2012;100001559;6559
240;100001560;CARDSYSTEM;1;6560;1;active;05.10.2013;05.10.2013;10.10.2013;100001560;6560
241;100001561;CARDSYSTEM;1;6561;1;active;19.01.2015;19.01.2015;25.01.2015;100001561;6561
242;100001562;CARDSYSTEM;1;6562;1;active;10.09.2014;10.09.2014;19.09.2014;100001562;6562
243;100001563;CARDSYSTEM;1;6563;1;active;25.04.2015;25.04.2015;01.05.2015;100001563;6563
244;100001564;CARDSYSTEM;1;6564;1;active;29.05.2012;29.05.2012;05.06.2012;100001564;6564
245;100001565;CARDSYSTEM;1;6565;1;active;10.02.2015;10.02.2015;19.02.2015;100001565;6565
246;100001566;CARDSYSTEM;1;6566;1;active;10.11.2012;10.11.2012;19.11.2012;100001566;6566
247;100001567;CARDSYSTEM;1;6567;1;active;25.09.2012;25.09.2012;02.10.2012;100001567;6567
248;100001568;CARDSYSTEM;1;6568;1;active;28.01.2015;28.01.2015;02.02.2015;100001568;6568
249;100001569;CARDSYSTEM;1;6569;1;active;01.02.2012;01.02.2012;10.02.2012;100001569;6569
250;100001570;CARDSYSTEM;1;6570;1;active;10.09.2014;10.09.2014;19.09.2014;100001570;6570
251;100001571;CARDSYSTEM;1;6571;1;active;01.11.2012;01.11.2012;10.11.2012;100001571;6571
252;100001572;CARDSYSTEM;1;6572;1;active;09.10.2016;09.10.2016;17.10.2016;100001572;6572
253;100001573;CARDSYSTEM;1;6573;1;active;08.11.2013;08.11.2013;13.11.2013;100001573;6573
254;100001574;CARDSYSTEM;1;6574;1;active;05.01.2017;05.01.2017;10.01.2017;100001574;6574
255;100001575;CARDSYSTEM;1;6575;1;active;15.01.2015;15.01.2015;24.01.2015;100001575;6575
256;100001576;CARDSYSTEM;1;6576;1;active;03.03.2016;03.03.2016;08.03.2016;100001576;6576
257;100001577;CARDSYSTEM;1;6577;1;active;22.05.2016;22.05.2016;27.05.2016;100001577;6577
258;100001578;CARDSYSTEM;1;6578;1;active;20.12.2015;20.12.2015;29.12.2015;100001578;6578
