;FINANCIALCONTRACTID;SOURCESYSTEM;BUSINESSPARTNERID2;DESCRIPTION;COMPANYROLE;COUNTERPARTYROLE;GOVERNINGLAWCOUNTRY;SIGNINGDATE;BANKINGBOOKORTRADINGBOOK;ASSOCIATEDPROJECT;AGREEDSTARTDATE;CLOSINGDATE;SEGREGATIONTYPE;CURRENCY3;ACCOUNTOPENINGDATE3;BUSINESSPARTNER
44;100001235;CARDSYSTEM;6235;CardAgreement;CardIssuer;MainCardHolder;US;16.03.2014;Banking;;16.03.2014;;;USD;;
45;100001236;CARDSYSTEM;6236;CardAgreement;CardIssuer;MainCardHolder;US;06.06.2015;Banking;;06.06.2015;;;USD;;
46;100001237;CARDSYSTEM;6237;CardAgreement;CardIssuer;MainCardHolder;US;14.01.2015;Banking;;14.01.2015;;;USD;;
47;100001238;CARDSYSTEM;6238;CardAgreement;CardIssuer;MainCardHolder;US;30.09.2016;Banking;;30.09.2016;;;USD;;
48;100001239;CARDSYSTEM;6239;CardAgreement;CardIssuer;MainCardHolder;US;13.03.2012;Banking;;13.03.2012;;;USD;;
49;100001240;CARDSYSTEM;6240;CardAgreement;CardIssuer;MainCardHolder;US;18.06.2017;Banking;;18.06.2017;;;USD;;
50;100001241;CARDSYSTEM;6241;CardAgreement;CardIssuer;MainCardHolder;US;29.08.2015;Banking;;29.08.2015;;;USD;;
51;100001242;CARDSYSTEM;6242;CardAgreement;CardIssuer;MainCardHolder;US;01.11.2014;Banking;;01.11.2014;;;USD;;
52;100001243;CARDSYSTEM;6243;CardAgreement;CardIssuer;MainCardHolder;US;02.08.2014;Banking;;02.08.2014;;;USD;;
53;100001244;CARDSYSTEM;6244;CardAgreement;CardIssuer;MainCardHolder;US;22.01.2012;Banking;;22.01.2012;;;USD;;
54;100001245;CARDSYSTEM;6245;CardAgreement;CardIssuer;MainCardHolder;US;11.07.2014;Banking;;11.07.2014;;;USD;;
55;100001246;CARDSYSTEM;6246;CardAgreement;CardIssuer;MainCardHolder;US;09.04.2012;Banking;;09.04.2012;;;USD;;
56;100001247;CARDSYSTEM;6247;CardAgreement;CardIssuer;MainCardHolder;US;22.08.2015;Banking;;22.08.2015;;;USD;;
57;100001248;CARDSYSTEM;6248;CardAgreement;CardIssuer;MainCardHolder;US;16.08.2015;Banking;;16.08.2015;;;USD;;
58;100001249;CARDSYSTEM;6249;CardAgreement;CardIssuer;MainCardHolder;US;17.03.2012;Banking;;17.03.2012;;;USD;;
59;100001250;CARDSYSTEM;6250;CardAgreement;CardIssuer;MainCardHolder;US;11.05.2012;Banking;;11.05.2012;;;USD;;
60;100001251;CARDSYSTEM;6251;CardAgreement;CardIssuer;MainCardHolder;US;28.03.2017;Banking;;28.03.2017;;;USD;;
61;100001252;CARDSYSTEM;6252;CardAgreement;CardIssuer;MainCardHolder;US;03.03.2015;Banking;;03.03.2015;;;USD;;
62;100001253;CARDSYSTEM;6253;CardAgreement;CardIssuer;MainCardHolder;US;24.09.2013;Banking;;24.09.2013;;;USD;;
63;100001254;CARDSYSTEM;6254;CardAgreement;CardIssuer;MainCardHolder;US;21.04.2012;Banking;;21.04.2012;;;USD;;
64;100001255;CARDSYSTEM;6255;CardAgreement;CardIssuer;MainCardHolder;US;21.09.2013;Banking;;21.09.2013;;;USD;;
65;100001256;CARDSYSTEM;6256;CardAgreement;CardIssuer;MainCardHolder;US;07.07.2015;Banking;;07.07.2015;;;USD;;
66;100001257;CARDSYSTEM;6257;CardAgreement;CardIssuer;MainCardHolder;US;20.01.2017;Banking;;20.01.2017;;;USD;;
67;100001258;CARDSYSTEM;6258;CardAgreement;CardIssuer;MainCardHolder;US;14.11.2012;Banking;;14.11.2012;;;USD;;
68;100001259;CARDSYSTEM;6259;CardAgreement;CardIssuer;MainCardHolder;US;09.10.2014;Banking;;09.10.2014;;;USD;;
69;100001260;CARDSYSTEM;6260;CardAgreement;CardIssuer;MainCardHolder;US;14.04.2016;Banking;;14.04.2016;;;USD;;
70;100001261;CARDSYSTEM;6261;CardAgreement;CardIssuer;MainCardHolder;US;03.09.2012;Banking;;03.09.2012;;;USD;;
71;100001262;CARDSYSTEM;6262;CardAgreement;CardIssuer;MainCardHolder;US;13.04.2016;Banking;;13.04.2016;;;USD;;
72;100001263;CARDSYSTEM;6263;CardAgreement;CardIssuer;MainCardHolder;US;27.01.2016;Banking;;27.01.2016;;;USD;;
73;100001264;CARDSYSTEM;6264;CardAgreement;CardIssuer;MainCardHolder;US;30.03.2016;Banking;;30.03.2016;;;USD;;
74;100001265;CARDSYSTEM;6265;CardAgreement;CardIssuer;MainCardHolder;US;08.05.2017;Banking;;08.05.2017;;;USD;;
75;100001266;CARDSYSTEM;6266;CardAgreement;CardIssuer;MainCardHolder;US;14.11.2016;Banking;;14.11.2016;;;USD;;
76;100001267;CARDSYSTEM;6267;CardAgreement;CardIssuer;MainCardHolder;US;03.03.2013;Banking;;03.03.2013;;;USD;;
77;100001268;CARDSYSTEM;6268;CardAgreement;CardIssuer;MainCardHolder;US;08.08.2014;Banking;;08.08.2014;;;USD;;
78;100001269;CARDSYSTEM;6269;CardAgreement;CardIssuer;MainCardHolder;US;26.03.2012;Banking;;26.03.2012;;;USD;;
79;100001270;CARDSYSTEM;6270;CardAgreement;CardIssuer;MainCardHolder;US;27.02.2012;Banking;;27.02.2012;;;USD;;
80;100001271;CARDSYSTEM;6271;CardAgreement;CardIssuer;MainCardHolder;US;19.08.2016;Banking;;19.08.2016;;;USD;;
81;100001272;CARDSYSTEM;6272;CardAgreement;CardIssuer;MainCardHolder;US;25.02.2015;Banking;;25.02.2015;;;USD;;
82;100001273;CARDSYSTEM;6273;CardAgreement;CardIssuer;MainCardHolder;US;21.02.2016;Banking;;21.02.2016;;;USD;;
83;100001274;CARDSYSTEM;6274;CardAgreement;CardIssuer;MainCardHolder;US;27.05.2015;Banking;;27.05.2015;;;USD;;
84;100001275;CARDSYSTEM;6275;CardAgreement;CardIssuer;MainCardHolder;US;14.08.2012;Banking;;14.08.2012;;;USD;;
85;100001276;CARDSYSTEM;6276;CardAgreement;CardIssuer;MainCardHolder;US;03.04.2015;Banking;;03.04.2015;;;USD;;
86;100001277;CARDSYSTEM;6277;CardAgreement;CardIssuer;MainCardHolder;US;09.11.2012;Banking;;09.11.2012;;;USD;;
87;100001278;CARDSYSTEM;6278;CardAgreement;CardIssuer;MainCardHolder;US;26.05.2015;Banking;;26.05.2015;;;USD;;
88;100001279;CARDSYSTEM;6279;CardAgreement;CardIssuer;MainCardHolder;US;08.05.2013;Banking;;08.05.2013;;;USD;;
89;100001280;CARDSYSTEM;6280;CardAgreement;CardIssuer;MainCardHolder;US;12.10.2016;Banking;;12.10.2016;;;USD;;
90;100001281;CARDSYSTEM;6281;CardAgreement;CardIssuer;MainCardHolder;US;16.01.2016;Banking;;16.01.2016;;;USD;;
91;100001282;CARDSYSTEM;6282;CardAgreement;CardIssuer;MainCardHolder;US;09.11.2013;Banking;;09.11.2013;;;USD;;
92;100001283;CARDSYSTEM;6283;CardAgreement;CardIssuer;MainCardHolder;US;28.04.2012;Banking;;28.04.2012;;;USD;;
93;100001284;CARDSYSTEM;6284;CardAgreement;CardIssuer;MainCardHolder;US;28.11.2015;Banking;;28.11.2015;;;USD;;
94;100000796;CARDSYSTEM;5796;CardAgreement;CardIssuer;MainCardHolder;US;14.05.2015;Banking;;14.05.2015;;;USD;;
95;100001285;CARDSYSTEM;6285;CardAgreement;CardIssuer;MainCardHolder;US;09.07.2014;Banking;;09.07.2014;;;USD;;
96;100000797;CARDSYSTEM;5797;CardAgreement;CardIssuer;MainCardHolder;US;12.03.2012;Banking;;12.03.2012;;;USD;;
97;100001286;CARDSYSTEM;6286;CardAgreement;CardIssuer;MainCardHolder;US;28.06.2016;Banking;;28.06.2016;;;USD;;
98;100000798;CARDSYSTEM;5798;CardAgreement;CardIssuer;MainCardHolder;US;19.02.2012;Banking;;19.02.2012;;;USD;;
99;100001287;CARDSYSTEM;6287;CardAgreement;CardIssuer;MainCardHolder;US;25.10.2016;Banking;;25.10.2016;;;USD;;
100;100000799;CARDSYSTEM;5799;CardAgreement;CardIssuer;MainCardHolder;US;20.10.2016;Banking;;20.10.2016;;;USD;;
101;100001288;CARDSYSTEM;6288;CardAgreement;CardIssuer;MainCardHolder;US;26.03.2015;Banking;;26.03.2015;;;USD;;
102;100000800;CARDSYSTEM;5800;CardAgreement;CardIssuer;MainCardHolder;US;16.07.2016;Banking;;16.07.2016;;;USD;;
103;100001289;CARDSYSTEM;6289;CardAgreement;CardIssuer;MainCardHolder;US;18.09.2016;Banking;;18.09.2016;;;USD;;
104;100000400;CARDSYSTEM;5400;CardAgreement;CardIssuer;MainCardHolder;US;24.05.2017;Banking;;24.05.2017;;;USD;;
105;100000801;CARDSYSTEM;5801;CardAgreement;CardIssuer;MainCardHolder;US;14.08.2015;Banking;;14.08.2015;;;USD;;
106;100001290;CARDSYSTEM;6290;CardAgreement;CardIssuer;MainCardHolder;US;19.01.2013;Banking;;19.01.2013;;;USD;;
107;100000802;CARDSYSTEM;5802;CardAgreement;CardIssuer;MainCardHolder;US;10.04.2014;Banking;;10.04.2014;;;USD;;
108;100000401;CARDSYSTEM;5401;CardAgreement;CardIssuer;MainCardHolder;US;31.01.2015;Banking;;31.01.2015;;;USD;;
109;100001291;CARDSYSTEM;6291;CardAgreement;CardIssuer;MainCardHolder;US;02.01.2015;Banking;;02.01.2015;;;USD;;
110;100000803;CARDSYSTEM;5803;CardAgreement;CardIssuer;MainCardHolder;US;08.04.2017;Banking;;08.04.2017;;;USD;;
111;100000402;CARDSYSTEM;5402;CardAgreement;CardIssuer;MainCardHolder;US;01.09.2014;Banking;;01.09.2014;;;USD;;
112;100001292;CARDSYSTEM;6292;CardAgreement;CardIssuer;MainCardHolder;US;08.03.2013;Banking;;08.03.2013;;;USD;;
113;100000804;CARDSYSTEM;5804;CardAgreement;CardIssuer;MainCardHolder;US;17.12.2014;Banking;;17.12.2014;;;USD;;
114;100000403;CARDSYSTEM;5403;CardAgreement;CardIssuer;MainCardHolder;US;21.06.2012;Banking;;21.06.2012;;;USD;;
115;100001293;CARDSYSTEM;6293;CardAgreement;CardIssuer;MainCardHolder;US;19.08.2013;Banking;;19.08.2013;;;USD;;
116;100000805;CARDSYSTEM;5805;CardAgreement;CardIssuer;MainCardHolder;US;17.10.2014;Banking;;17.10.2014;;;USD;;
117;100000404;CARDSYSTEM;5404;CardAgreement;CardIssuer;MainCardHolder;US;25.11.2014;Banking;;25.11.2014;;;USD;;
118;100001294;CARDSYSTEM;6294;CardAgreement;CardIssuer;MainCardHolder;US;03.05.2014;Banking;;03.05.2014;;;USD;;
119;100000806;CARDSYSTEM;5806;CardAgreement;CardIssuer;MainCardHolder;US;24.12.2012;Banking;;24.12.2012;;;USD;;
120;100000405;CARDSYSTEM;5405;CardAgreement;CardIssuer;MainCardHolder;US;03.05.2013;Banking;;03.05.2013;;;USD;;
121;100001295;CARDSYSTEM;6295;CardAgreement;CardIssuer;MainCardHolder;US;09.04.2014;Banking;;09.04.2014;;;USD;;
122;100000807;CARDSYSTEM;5807;CardAgreement;CardIssuer;MainCardHolder;US;10.04.2013;Banking;;10.04.2013;;;USD;;
123;100000406;CARDSYSTEM;5406;CardAgreement;CardIssuer;MainCardHolder;US;20.02.2015;Banking;;20.02.2015;;;USD;;
124;100001296;CARDSYSTEM;6296;CardAgreement;CardIssuer;MainCardHolder;US;03.12.2015;Banking;;03.12.2015;;;USD;;
125;100000808;CARDSYSTEM;5808;CardAgreement;CardIssuer;MainCardHolder;US;07.05.2014;Banking;;07.05.2014;;;USD;;
126;100000407;CARDSYSTEM;5407;CardAgreement;CardIssuer;MainCardHolder;US;01.12.2013;Banking;;01.12.2013;;;USD;;
127;100001297;CARDSYSTEM;6297;CardAgreement;CardIssuer;MainCardHolder;US;20.10.2015;Banking;;20.10.2015;;;USD;;
128;100000809;CARDSYSTEM;5809;CardAgreement;CardIssuer;MainCardHolder;US;23.09.2012;Banking;;23.09.2012;;;USD;;
129;100000408;CARDSYSTEM;5408;CardAgreement;CardIssuer;MainCardHolder;US;24.09.2012;Banking;;24.09.2012;;;USD;;
130;100001298;CARDSYSTEM;6298;CardAgreement;CardIssuer;MainCardHolder;US;10.03.2015;Banking;;10.03.2015;;;USD;;
131;100000810;CARDSYSTEM;5810;CardAgreement;CardIssuer;MainCardHolder;US;02.09.2015;Banking;;02.09.2015;;;USD;;
132;100000409;CARDSYSTEM;5409;CardAgreement;CardIssuer;MainCardHolder;US;02.04.2015;Banking;;02.04.2015;;;USD;;
133;100001299;CARDSYSTEM;6299;CardAgreement;CardIssuer;MainCardHolder;US;26.05.2016;Banking;;26.05.2016;;;USD;;
134;100000811;CARDSYSTEM;5811;CardAgreement;CardIssuer;MainCardHolder;US;14.04.2014;Banking;;14.04.2014;;;USD;;
135;100000410;CARDSYSTEM;5410;CardAgreement;CardIssuer;MainCardHolder;US;24.11.2014;Banking;;24.11.2014;;;USD;;
136;100001300;CARDSYSTEM;6300;CardAgreement;CardIssuer;MainCardHolder;US;13.07.2012;Banking;;13.07.2012;;;USD;;
137;100000812;CARDSYSTEM;5812;CardAgreement;CardIssuer;MainCardHolder;US;24.06.2012;Banking;;24.06.2012;;;USD;;
138;100000411;CARDSYSTEM;5411;CardAgreement;CardIssuer;MainCardHolder;US;20.05.2015;Banking;;20.05.2015;;;USD;;
139;100001301;CARDSYSTEM;6301;CardAgreement;CardIssuer;MainCardHolder;US;08.11.2013;Banking;;08.11.2013;;;USD;;
140;100000813;CARDSYSTEM;5813;CardAgreement;CardIssuer;MainCardHolder;US;17.10.2015;Banking;;17.10.2015;;;USD;;
141;100000412;CARDSYSTEM;5412;CardAgreement;CardIssuer;MainCardHolder;US;06.07.2014;Banking;;06.07.2014;;;USD;;
142;100001302;CARDSYSTEM;6302;CardAgreement;CardIssuer;MainCardHolder;US;21.10.2013;Banking;;21.10.2013;;;USD;;
143;100000814;CARDSYSTEM;5814;CardAgreement;CardIssuer;MainCardHolder;US;15.04.2013;Banking;;15.04.2013;;;USD;;
144;100000413;CARDSYSTEM;5413;CardAgreement;CardIssuer;MainCardHolder;US;22.06.2013;Banking;;22.06.2013;;;USD;;
145;100001303;CARDSYSTEM;6303;CardAgreement;CardIssuer;MainCardHolder;US;16.12.2012;Banking;;16.12.2012;;;USD;;
146;100000815;CARDSYSTEM;5815;CardAgreement;CardIssuer;MainCardHolder;US;18.01.2015;Banking;;18.01.2015;;;USD;;
147;100000414;CARDSYSTEM;5414;CardAgreement;CardIssuer;MainCardHolder;US;29.07.2012;Banking;;29.07.2012;;;USD;;
148;100001304;CARDSYSTEM;6304;CardAgreement;CardIssuer;MainCardHolder;US;30.04.2013;Banking;;30.04.2013;;;USD;;
149;100000816;CARDSYSTEM;5816;CardAgreement;CardIssuer;MainCardHolder;US;09.05.2017;Banking;;09.05.2017;;;USD;;
150;100000415;CARDSYSTEM;5415;CardAgreement;CardIssuer;MainCardHolder;US;13.01.2017;Banking;;13.01.2017;;;USD;;
151;100001305;CARDSYSTEM;6305;CardAgreement;CardIssuer;MainCardHolder;US;11.06.2012;Banking;;11.06.2012;;;USD;;
152;100000817;CARDSYSTEM;5817;CardAgreement;CardIssuer;MainCardHolder;US;02.02.2016;Banking;;02.02.2016;;;USD;;
153;100000416;CARDSYSTEM;5416;CardAgreement;CardIssuer;MainCardHolder;US;05.09.2015;Banking;;05.09.2015;;;USD;;
154;100001306;CARDSYSTEM;6306;CardAgreement;CardIssuer;MainCardHolder;US;18.04.2015;Banking;;18.04.2015;;;USD;;
155;100000818;CARDSYSTEM;5818;CardAgreement;CardIssuer;MainCardHolder;US;11.11.2015;Banking;;11.11.2015;;;USD;;
156;100001307;CARDSYSTEM;6307;CardAgreement;CardIssuer;MainCardHolder;US;22.07.2015;Banking;;22.07.2015;;;USD;;
157;100000417;CARDSYSTEM;5417;CardAgreement;CardIssuer;MainCardHolder;US;29.08.2012;Banking;;29.08.2012;;;USD;;
158;100000819;CARDSYSTEM;5819;CardAgreement;CardIssuer;MainCardHolder;US;24.01.2013;Banking;;24.01.2013;;;USD;;
159;100001308;CARDSYSTEM;6308;CardAgreement;CardIssuer;MainCardHolder;US;21.11.2014;Banking;;21.11.2014;;;USD;;
160;100000820;CARDSYSTEM;5820;CardAgreement;CardIssuer;MainCardHolder;US;20.08.2015;Banking;;20.08.2015;;;USD;;
161;100000418;CARDSYSTEM;5418;CardAgreement;CardIssuer;MainCardHolder;US;07.06.2017;Banking;;07.06.2017;;;USD;;
162;100001309;CARDSYSTEM;6309;CardAgreement;CardIssuer;MainCardHolder;US;06.11.2016;Banking;;06.11.2016;;;USD;;
163;100000821;CARDSYSTEM;5821;CardAgreement;CardIssuer;MainCardHolder;US;19.07.2014;Banking;;19.07.2014;;;USD;;
164;100000419;CARDSYSTEM;5419;CardAgreement;CardIssuer;MainCardHolder;US;22.09.2014;Banking;;22.09.2014;;;USD;;
165;100001310;CARDSYSTEM;6310;CardAgreement;CardIssuer;MainCardHolder;US;08.07.2013;Banking;;08.07.2013;;;USD;;
166;100000822;CARDSYSTEM;5822;CardAgreement;CardIssuer;MainCardHolder;US;02.05.2014;Banking;;02.05.2014;;;USD;;
167;100000420;CARDSYSTEM;5420;CardAgreement;CardIssuer;MainCardHolder;US;23.09.2016;Banking;;23.09.2016;;;USD;;
168;100001311;CARDSYSTEM;6311;CardAgreement;CardIssuer;MainCardHolder;US;10.02.2013;Banking;;10.02.2013;;;USD;;
169;100000823;CARDSYSTEM;5823;CardAgreement;CardIssuer;MainCardHolder;US;07.03.2015;Banking;;07.03.2015;;;USD;;
170;100000421;CARDSYSTEM;5421;CardAgreement;CardIssuer;MainCardHolder;US;22.10.2013;Banking;;22.10.2013;;;USD;;
171;100001312;CARDSYSTEM;6312;CardAgreement;CardIssuer;MainCardHolder;US;20.06.2013;Banking;;20.06.2013;;;USD;;
172;100000824;CARDSYSTEM;5824;CardAgreement;CardIssuer;MainCardHolder;US;26.02.2014;Banking;;26.02.2014;;;USD;;
173;100000422;CARDSYSTEM;5422;CardAgreement;CardIssuer;MainCardHolder;US;30.08.2013;Banking;;30.08.2013;;;USD;;
174;100001313;CARDSYSTEM;6313;CardAgreement;CardIssuer;MainCardHolder;US;01.11.2015;Banking;;01.11.2015;;;USD;;
175;100000825;CARDSYSTEM;5825;CardAgreement;CardIssuer;MainCardHolder;US;18.05.2016;Banking;;18.05.2016;;;USD;;
176;100000423;CARDSYSTEM;5423;CardAgreement;CardIssuer;MainCardHolder;US;12.05.2017;Banking;;12.05.2017;;;USD;;
177;100000826;CARDSYSTEM;5826;CardAgreement;CardIssuer;MainCardHolder;US;25.04.2012;Banking;;25.04.2012;;;USD;;
178;100001314;CARDSYSTEM;6314;CardAgreement;CardIssuer;MainCardHolder;US;05.12.2016;Banking;;05.12.2016;;;USD;;
179;100000424;CARDSYSTEM;5424;CardAgreement;CardIssuer;MainCardHolder;US;03.09.2013;Banking;;03.09.2013;;;USD;;
180;100000827;CARDSYSTEM;5827;CardAgreement;CardIssuer;MainCardHolder;US;25.07.2013;Banking;;25.07.2013;;;USD;;
181;100001315;CARDSYSTEM;6315;CardAgreement;CardIssuer;MainCardHolder;US;28.05.2017;Banking;;28.05.2017;;;USD;;
182;100000425;CARDSYSTEM;5425;CardAgreement;CardIssuer;MainCardHolder;US;13.11.2014;Banking;;13.11.2014;;;USD;;
183;100000828;CARDSYSTEM;5828;CardAgreement;CardIssuer;MainCardHolder;US;25.08.2016;Banking;;25.08.2016;;;USD;;
184;100001316;CARDSYSTEM;6316;CardAgreement;CardIssuer;MainCardHolder;US;10.02.2016;Banking;;10.02.2016;;;USD;;
185;100000426;CARDSYSTEM;5426;CardAgreement;CardIssuer;MainCardHolder;US;28.10.2012;Banking;;28.10.2012;;;USD;;
186;100000829;CARDSYSTEM;5829;CardAgreement;CardIssuer;MainCardHolder;US;31.12.2012;Banking;;31.12.2012;;;USD;;
187;100001317;CARDSYSTEM;6317;CardAgreement;CardIssuer;MainCardHolder;US;15.02.2012;Banking;;15.02.2012;;;USD;;
188;100000427;CARDSYSTEM;5427;CardAgreement;CardIssuer;MainCardHolder;US;11.06.2014;Banking;;11.06.2014;;;USD;;
189;100000830;CARDSYSTEM;5830;CardAgreement;CardIssuer;MainCardHolder;US;10.10.2013;Banking;;10.10.2013;;;USD;;
190;100001318;CARDSYSTEM;6318;CardAgreement;CardIssuer;MainCardHolder;US;19.09.2015;Banking;;19.09.2015;;;USD;;
191;100000428;CARDSYSTEM;5428;CardAgreement;CardIssuer;MainCardHolder;US;18.01.2012;Banking;;18.01.2012;;;USD;;
192;100000831;CARDSYSTEM;5831;CardAgreement;CardIssuer;MainCardHolder;US;11.06.2015;Banking;;11.06.2015;;;USD;;
193;100001319;CARDSYSTEM;6319;CardAgreement;CardIssuer;MainCardHolder;US;08.05.2014;Banking;;08.05.2014;;;USD;;
194;100000832;CARDSYSTEM;5832;CardAgreement;CardIssuer;MainCardHolder;US;26.09.2014;Banking;;26.09.2014;;;USD;;
195;100000429;CARDSYSTEM;5429;CardAgreement;CardIssuer;MainCardHolder;US;29.09.2015;Banking;;29.09.2015;;;USD;;
196;100001320;CARDSYSTEM;6320;CardAgreement;CardIssuer;MainCardHolder;US;02.02.2017;Banking;;02.02.2017;;;USD;;
